Hhid,InstoreVisits,InstoreSpend,InstoreQuantity,OnlineVisits,OnlineSpend,OnlineQuantity,TotalVisits,TotalSpend,TotalQuantity
94591,37,585.76,374,0,0,0,37,585.76,374
94781,33,718.28,494,0,0,0,33,718.28,494
94971,4,22.19,7,0,0,0,4,22.19,7
95411,28,737.4,222,0,0,0,28,737.4,222
96151,42,999.47,702,0,0,0,42,999.47,702
97311,7,468.47,325,0,0,0,7,468.47,325
97841,18,586.2,47,0,0,0,18,586.2,47
98811,18,235.27,77,0,0,0,18,235.27,77
99021,18,392.96,212,4,179.69,129,22,572.65,341
99361,15,390.55,316,0,0,0,15,390.55,316
99741,28,852.38,383,0,0,0,28,852.38,383
100101,142,6238.93,2242,0,0,0,142,6238.93,2242
100821,4,92.41,33,10,1473.21,783,14,1565.62,816
101371,35,1395.25,893,0,0,0,35,1395.25,893
101941,29,520.85,266,0,0,0,29,520.85,266
102151,107,919.63,974,2,263.54,101,109,1183.17,1075
103311,1,7.46,4,0,0,0,1,7.46,4
104431,23,394.2,148,0,0,0,23,394.2,148
104961,8,359.92,171,0,0,0,8,359.92,171
105361,1,75.95,43,0,0,0,1,75.95,43
105401,1,39.2,22,0,0,0,1,39.2,22
107111,79,3575.38,1946,0,0,0,79,3575.38,1946
109881,12,487.01,206,0,0,0,12,487.01,206
109921,77,3024.53,2422,1,100.9,121,78,3125.43,2543
110521,33,743.84,485,0,0,0,33,743.84,485
110711,2,16.58,13,0,0,0,2,16.58,13
112231,41,1009.98,737,0,0,0,41,1009.98,737
112611,14,485.57,315,0,0,0,14,485.57,315
112761,25,1062.81,763,0,0,0,25,1062.81,763
112951,47,784.11,203,0,0,0,47,784.11,203
113011,32,1588.77,1017,0,0,0,32,1588.77,1017
113351,24,73.11,79,0,0,0,24,73.11,79
113541,53,547.67,227,0,0,0,53,547.67,227
113921,15,69.79,64,0,0,0,15,69.79,64
114091,7,95.89,32,0,0,0,7,95.89,32
116031,4,97.43,57,0,0,0,4,97.43,57
116181,73,533.56,429,0,0,0,73,533.56,429
116411,49,1105.22,593,0,0,0,49,1105.22,593
117491,48,730.73,671,0,0,0,48,730.73,671
117721,29,1329.86,1497,0,0,0,29,1329.86,1497
117911,56,2096.28,1253,0,0,0,56,2096.28,1253
119051,18,623.98,438,0,0,0,18,623.98,438
119431,43,1292.28,956,0,0,0,43,1292.28,956
119771,4,47.33,36,0,0,0,4,47.33,36
119961,28,585.6,402,0,0,0,28,585.6,402
120371,142,2475.55,1068,0,0,0,142,2475.55,1068
120941,48,1248.86,784,0,0,0,48,1248.86,784
121491,39,1193.11,699,1,130.03,109,40,1323.14,808
121681,11,686.66,276,0,0,0,11,686.66,276
121871,63,1360.93,949,0,0,0,63,1360.93,949
122121,29,326.83,150,0,0,0,29,326.83,150
123581,3,46.65,28,0,0,0,3,46.65,28
125141,73,466.95,434,0,0,0,73,466.95,434
126261,10,307.45,91,0,0,0,10,307.45,91
127571,2,63.78,4,0,0,0,2,63.78,4
128691,64,1560.08,898,0,0,0,64,1560.08,898
129091,23,1127.93,538,0,0,0,23,1127.93,538
129471,70,829.5,480,0,0,0,70,829.5,480
129511,15,726.32,188,0,0,0,15,726.32,188
129661,5,127.15,30,1,121.04,63,6,248.19,93
130111,26,296.82,127,0,0,0,26,296.82,127
132161,67,782.34,558,0,0,0,67,782.34,558
133321,39,796.08,651,0,0,0,39,796.08,651
134061,51,1639.96,1082,1,73.81,58,52,1713.77,1140
135941,5,231.96,165,0,0,0,5,231.96,165
136871,57,2339.46,716,0,0,0,57,2339.46,716
137841,22,225.81,66,0,0,0,22,225.81,66
140531,26,246.71,169,0,0,0,26,246.71,169
140871,22,505.83,114,0,0,0,22,505.83,114
140911,34,261.66,299,0,0,0,34,261.66,299
143361,1,24.91,17,0,0,0,1,24.91,17
144141,21,359.44,109,0,0,0,21,359.44,109
144481,8,360.25,61,0,0,0,8,360.25,61
144711,36,1103.91,109,0,0,0,36,1103.91,109
146571,88,1895.13,677,0,0,0,88,1895.13,677
147201,63,1367.1,440,0,0,0,63,1367.1,440
148471,114,3609.75,1469,0,0,0,114,3609.75,1469
148661,20,543.5,319,0,0,0,20,543.5,319
149061,18,1226.28,578,0,0,0,18,1226.28,578
149971,18,967.27,572,0,0,0,18,967.27,572
151201,39,800.42,431,0,0,0,39,800.42,431
151541,23,156.21,123,0,0,0,23,156.21,123
154031,56,1032.24,798,0,0,0,56,1032.24,798
154181,0,0,0,1,123.48,71,1,123.48,71
155871,24,118.22,128,1,37.4,28,25,155.62,156
156121,23,260.31,171,0,0,0,23,260.31,171
156271,54,1518.17,1118,0,0,0,54,1518.17,1118
157051,95,1740.5,1125,0,0,0,95,1740.5,1125
157241,6,60.39,53,0,0,0,6,60.39,53
158551,5,41.05,25,0,0,0,5,41.05,25
158741,40,532.51,269,0,0,0,40,532.51,269
158891,87,3385.74,1618,0,0,0,87,3385.74,1618
161051,41,420.99,431,0,0,0,41,420.99,431
161431,43,1148.75,819,0,0,0,43,1148.75,819
162021,10,200.2,45,0,0,0,10,200.2,45
162741,97,2867.6,1240,1,68.94,52,98,2936.54,1292
163481,4,208.31,133,0,0,0,4,208.31,133
164641,28,1133.95,845,0,0,0,28,1133.95,845
165041,14,278.89,59,0,0,0,14,278.89,59
165801,37,3957.85,2171,0,0,0,37,3957.85,2171
167091,52,736.84,446,0,0,0,52,736.84,446
167471,1,83.83,28,0,0,0,1,83.83,28
168591,5,32.62,32,0,0,0,5,32.62,32
169941,36,1250.94,481,0,0,0,36,1250.94,481
172251,4,206.62,86,0,0,0,4,206.62,86
172591,60,1472.93,705,0,0,0,60,1472.93,705
173371,46,930.94,147,0,0,0,46,930.94,147
173601,16,591.82,291,4,398.44,218,20,990.26,509
173941,66,2106.39,1061,2,247.9,149,68,2354.29,1210
174491,1,57.91,45,0,0,0,1,57.91,45
174871,7,26.11,23,0,0,0,7,26.11,23
175271,39,770.87,494,0,0,0,39,770.87,494
176581,2,31.94,14,0,0,0,2,31.94,14
176811,15,841.97,479,0,0,0,15,841.97,479
177361,25,933.43,589,0,0,0,25,933.43,589
178711,8,167.01,82,0,0,0,8,167.01,82
179111,30,1551.47,1163,0,0,0,30,1551.47,1163
179301,18,643.74,384,0,0,0,18,643.74,384
179831,9,336.06,24,2,218.9,129,11,554.96,153
180241,7,31.84,26,0,0,0,7,31.84,26
180391,34,1239.34,526,0,0,0,34,1239.34,526
180811,151,4314.55,1791,0,0,0,151,4314.55,1791
181741,50,1950.4,1706,0,0,0,50,1950.4,1706
182331,79,3824.01,1796,0,0,0,79,3824.01,1796
182521,13,357.71,245,0,0,0,13,357.71,245
182861,66,1269.89,396,0,0,0,66,1269.89,396
183831,25,1008.85,474,0,0,0,25,1008.85,474
184761,1,123.54,89,0,0,0,1,123.54,89
185011,47,2774.43,1967,0,0,0,47,2774.43,1967
186131,10,229.17,135,0,0,0,10,229.17,135
187061,23,355.04,112,0,0,0,23,355.04,112
187441,12,180.02,170,0,0,0,12,180.02,170
189151,24,565.26,220,0,0,0,24,565.26,220
190091,30,1072.08,638,0,0,0,30,1072.08,638
193001,8,252.37,36,0,0,0,8,252.37,36
194651,37,769.69,502,0,0,0,37,769.69,502
195241,106,2195.85,1917,0,0,0,106,2195.85,1917
195811,92,2903.58,2200,0,0,0,92,2903.58,2200
196171,47,1461.9,758,0,0,0,47,1461.9,758
196401,15,170.53,158,0,0,0,15,170.53,158
196891,30,1178.28,477,0,0,0,30,1178.28,477
196931,16,298.16,223,0,0,0,16,298.16,223
198791,61,1333.55,828,0,0,0,61,1333.55,828
199761,14,510.61,363,0,0,0,14,510.61,363
199801,4,86.78,58,0,0,0,4,86.78,58
200081,89,1150.77,816,0,0,0,89,1150.77,816
200121,43,1313.12,756,0,0,0,43,1313.12,756
200651,3,193.96,84,0,0,0,3,193.96,84
200991,18,542.15,286,0,0,0,18,542.15,286
201431,26,1002.37,633,0,0,0,26,1002.37,633
202021,11,294.32,181,0,0,0,11,294.32,181
202741,6,139.96,88,0,0,0,6,139.96,88
204071,2,9.12,8,0,0,0,2,9.12,8
205231,3,28.77,34,0,0,0,3,28.77,34
205571,52,937.45,802,0,0,0,52,937.45,802
206011,86,2505.59,2271,0,0,0,86,2505.59,2271
206691,3,64.49,20,0,0,0,3,64.49,20
206731,17,380.66,212,0,0,0,17,380.66,212
207131,39,601.82,240,3,362.94,211,42,964.76,451
207511,38,134.43,177,0,0,0,38,134.43,177
208061,15,402.57,251,0,0,0,15,402.57,251
209181,41,1873.41,993,0,0,0,41,1873.41,993
209561,103,2554.85,1159,1,84.68,67,104,2639.53,1226
209941,45,829.08,423,0,0,0,45,829.08,423
211281,62,1652.38,1563,0,0,0,62,1652.38,1563
211471,1,2.3,2,0,0,0,1,2.3,2
213031,39,2887.18,1281,3,465.1,314,42,3352.28,1595
213221,8,98.15,47,0,0,0,8,98.15,47
214531,2,42.86,8,22,2156.84,953,24,2199.7,961
214871,35,609.37,217,0,0,0,35,609.37,217
215121,70,3622.42,1748,0,0,0,70,3622.42,1748
215311,3,34.05,9,0,0,0,3,34.05,9
215461,99,1913.44,782,0,0,0,99,1913.44,782
216051,14,235.2,48,0,0,0,14,235.2,48
216391,102,2205.12,998,14,1126.61,806,116,3331.73,1804
216621,144,6696.2,2557,0,0,0,144,6696.2,2557
216811,32,492.19,191,0,0,0,32,492.19,191
217171,1,50.79,2,0,0,0,1,50.79,2
219641,24,1570.32,785,2,234.19,119,26,1804.51,904
223261,1,7.69,6,0,0,0,1,7.69,6
225351,8,119.83,55,0,0,0,8,119.83,55
226281,40,495.64,189,12,1155.31,863,52,1650.95,1052
226511,32,1207.01,190,0,0,0,32,1207.01,190
228031,7,532.16,52,0,0,0,7,532.16,52
228371,42,1602.82,464,0,0,0,42,1602.82,464
228561,40,854.06,206,0,0,0,40,854.06,206
228601,16,640.29,146,0,0,0,16,640.29,146
230131,19,837,560,0,0,0,19,837,560
230281,13,167.81,117,0,0,0,13,167.81,117
230511,126,3857.6,1971,0,0,0,126,3857.6,1971
232031,62,1725.79,978,0,0,0,62,1725.79,978
232371,34,402.64,98,0,0,0,34,402.64,98
233531,90,3278.62,2123,0,0,0,90,3278.62,2123
233681,86,3273.41,1746,0,0,0,86,3273.41,1746
235391,12,426.38,372,0,0,0,12,426.38,372
236401,15,245.64,113,0,0,0,15,245.64,113
236551,2,66.33,46,0,0,0,2,66.33,46
237861,21,658.67,293,0,0,0,21,658.67,293
240401,19,878.97,592,1,66.87,50,20,945.84,642
240931,13,304.73,86,0,0,0,13,304.73,86
241331,91,886.71,670,0,0,0,91,886.71,670
244161,0,0,0,26,3460.31,2417,26,3460.31,2417
245091,21,328.02,127,0,0,0,21,328.02,127
